user_id,retention_score,depth_score,complexity_score,velocity_score,success_score,total_events,days_active
17cd28cd,30,30,20,11.83,91.83,633,90
3ed1e6a7,2.5,0.0,0.4,0.0,2.9,1,1
9caa13c2,12.5,30,20,0.0,62.5,101,29
d0eeba0c,27.5,30,20,11.59,89.09,506,69
560e32c8,30,30,20,8.44,88.44,454,73
8bb72f88,30,30,20,9.89,89.89,960,90
05f4d9ba,30,30,20,9.04,89.04,657,89
56d570df,7.5,30,18.8,0.0,56.3,47,18
084d0195,27.5,30,20,10.33,87.83,502,72
0dfcce92,7.5,30,17.6,0.0,55.1,44,16
24465fd7,30,30,20,9.14,89.14,759,83
e6adc1e9,30,30,20,9.29,89.29,703,73
2a8559dd,5.0,16.67,3.2,0.0,24.87,8,4
55a2b2c5,27.5,30,20,10.94,88.44,473,66
9d73fa31,10.0,30,20,0.0,60.0,94,24
d719c801,30,30,20,15.74,95.74,656,81
f6d905f5,2.5,0.0,0.4,0.0,2.9,1,1
66770ad7,7.5,30,20,0.0,57.5,59,14
ee524445,2.5,0.0,0.4,0.0,2.9,1,1
52254fe3,30,30,20,10.81,90.81,504,77
73450367,30,30,20,9.86,89.86,566,79
f43bce69,2.5,30,6.0,0.0,38.5,15,4
16203914,5.0,0.0,2.0,0.0,7.0,5,4
2c9bda07,27.5,30,20,13.9,91.4,471,68
ea3138dd,30,30,20,9.96,89.96,692,74
34ad32cc,25.0,30,20,10.0,85.0,432,62
63294f89,30,30,20,9.37,89.37,871,89
aa44c6d6,2.5,23.08,1.2,0.0,26.78,3,1
e44e0233,2.5,30,2.0,0.0,34.5,5,3
f8c6964e,15.0,30,20,1.78,66.78,171,36
f4e60dfc,30,30,20,12.28,92.28,690,90
2e456d58,12.5,30,20,0.0,62.5,114,25
3991ca9f,2.5,30,1.2,0.0,33.7,3,1
f0327440,7.5,30,20,0.0,57.5,71,18
7936082c,27.5,30,20,10.38,87.88,542,77
46830997,2.5,13.04,5.2,0.0,20.74,13,4
4c21ecd4,2.5,30,4.8,0.0,37.3,12,5
74876c9c,5.0,30,2.0,0.0,37.0,5,2
db6f0d1f,10.0,30,20,0.0,60.0,60,20
698c7d21,2.5,0.0,1.6,0.0,4.1,4,1
18c12f17,27.5,30,20,8.96,86.46,499,72
361464a5,7.5,30,20,0.0,57.5,50,16
3d5f001f,15.0,30,20,1.89,66.89,150,35
a34346b3,30,30,20,7.45,87.45,622,78
d8cd3006,2.5,30,3.6,0.0,36.1,9,4
42969ceb,5.0,30,13.2,0.0,48.2,33,9
7c2145f0,2.5,30,2.4,0.0,34.9,6,2
d471fd3f,30,30,20,9.43,89.43,582,83
64aca7cf,27.5,30,20,6.87,84.37,456,66
bb32fa2a,2.5,0.0,0.8,0.0,3.3,2,1
2daaf874,2.5,20.0,2.0,0.0,24.5,5,3
53da8a57,10.0,30,20,0.0,60.0,111,23
d83688ae,2.5,0.0,0.8,0.0,3.3,2,1
c8a125ea,30,30,20,7.77,87.77,843,77
c4175b27,30,30,20,7.93,87.93,801,85
8606637b,5.0,18.75,2.4,0.0,26.15,6,2
edc9750c,12.5,30,20,0.0,62.5,115,30
91ae64f5,2.5,30,2.4,0.0,34.9,6,2
db6191cf,25.0,30,20,9.64,84.64,744,63
8f6642a8,30,30,20,8.62,88.62,739,79
ee678d14,12.5,30,20,0.0,62.5,107,29
69cc901c,30,30,20,10.45,90.45,901,87
3e3a83ef,25.0,30,20,11.64,86.64,433,64
aa825a38,30,30,20,8.57,88.57,606,86
90447673,7.5,30,18.4,0.0,55.9,46,10
82609552,25.0,30,20,8.08,83.08,724,70
24cf8a95,30,30,20,16.32,96.32,577,78
de586c1d,27.5,30,20,11.72,89.22,648,72
0aedcd95,30,30,20,8.49,88.49,709,74
79ff7079,2.5,18.75,2.4,0.0,23.65,6,1
214e5a61,27.5,30,20,10.76,88.26,463,70
79a98b1a,27.5,30,20,8.43,85.93,604,69
b30f1268,5.0,30,1.6,0.0,36.6,4,3
59a71785,2.5,23.08,1.2,0.0,26.78,3,1
28fba8c6,2.5,30,2.8,0.0,35.3,7,3
25cd171b,7.5,30,20,0.0,57.5,63,17
54e08983,22.5,30,20,18.27,90.77,375,58
e3e3fdd1,2.5,25.0,0.8,0.0,28.3,2,1
32100bc4,7.5,30,20,0.0,57.5,64,16
0eb30914,25.0,30,20,8.46,83.46,489,64
2b6c7401,2.5,30,2.0,0.0,34.5,5,4
4a182a19,15.0,30,20,0.79,65.79,136,33
b4a707ce,5.0,0.0,1.2,0.0,6.2,3,2
cc3aedd4,17.5,30,20,2.31,69.81,143,38
51c3c762,27.5,30,20,7.58,85.08,544,72
6ef24a98,2.5,23.08,1.2,0.0,26.78,3,1
7a6bd9d3,30,30,20,8.82,88.82,636,88
15710e87,2.5,0.0,0.4,0.0,2.9,1,1
a1c3844b,2.5,30,2.0,0.0,34.5,5,2
840f1dfe,30,30,20,13.22,93.22,548,84
8bc254bd,30,30,20,11.25,91.25,555,89
dafba2a3,25.0,30,20,11.07,86.07,579,64
9a69b529,27.5,30,20,12.63,90.13,481,67
af981e8f,17.5,30,20,2.25,69.75,157,37
37a3bebc,25.0,30,20,12.91,87.91,574,60
2a0545ea,15.0,30,20,1.04,66.04,147,33
feb3ef12,25.0,30,20,12.37,87.37,542,61
eb8e8dff,12.5,30,20,0.0,62.5,117,30
982045be,15.0,30,20,2.63,67.63,143,35
498aa958,2.5,30,1.6,0.0,34.1,4,2
6ef547e1,2.5,21.43,1.6,0.0,25.53,4,1
ae6b909b,30,30,20,7.83,87.83,759,84
8ff7d0bc,12.5,30,20,0.0,62.5,142,30
6f9db975,30,30,20,7.59,87.59,465,81
adab14c4,30,30,20,8.17,88.17,472,73
88e3db41,10.0,30,20,0.0,60.0,81,18
a0edeefa,12.5,30,20,0.34,62.84,149,31
e045bf7e,27.5,30,20,10.6,88.1,434,69
a6f6eb86,30,30,20,9.63,89.63,572,81
bbb71215,25.0,30,20,10.87,85.87,401,63
996b9995,25.0,30,20,11.44,86.44,454,64
a8d1d312,5.0,30,4.0,0.0,39.0,10,4
5882316c,10.0,30,20,0.0,60.0,69,25
88963bdc,30,30,20,8.67,88.67,806,85
ed9dbe70,12.5,30,20,0.0,62.5,64,25
81e30d35,30,30,20,9.3,89.3,948,82
cb95541a,25.0,30,20,11.64,86.64,663,65
3d50fd55,30,30,20,9.42,89.42,813,85
7050be0d,30,30,20,7.51,87.51,587,87
4d8828e9,30,30,20,8.68,88.68,880,78
e290a6f8,30,30,20,8.74,88.74,879,78
8ab70137,25.0,30,20,12.08,87.08,691,63
d2c01f77,25.0,30,20,8.86,83.86,463,67
6b58828c,30,30,20,12.96,92.96,665,90
a524624c,27.5,30,20,10.65,88.15,637,68
9b1f71d5,5.0,23.08,1.2,0.0,29.28,3,1
f925b3cf,30,30,20,9.22,89.22,556,80
997d136e,7.5,30,20,0.0,57.5,73,14
0315edca,30,30,20,6.85,86.85,838,87
1cdadf5c,30,30,20,9.37,89.37,751,86
83faba60,2.5,30,2.4,0.0,34.9,6,2
baad23f8,10.0,30,20,0.0,60.0,95,20
9e65c2f4,30,30,20,13.57,93.57,538,77
73ce415b,30,30,20,10.37,90.37,658,90
622c1f28,30,30,20,9.9,89.9,650,89
6a9903db,12.5,30,20,0.58,63.08,126,32
50161762,30,30,20,9.87,89.87,729,75
e9daeb20,30,30,20,8.51,88.51,911,85
29db4d27,25.0,30,20,20,95.0,519,62
e0615a51,30,30,20,8.92,88.92,545,86
215bd557,30,30,20,10.66,90.66,951,90
de705a97,30,30,20,10.76,90.76,770,82
135707ed,30,30,20,9.24,89.24,772,81
bd423225,27.5,30,20,9.71,87.21,759,69
a4da99fc,30,30,20,10.57,90.57,840,86
39e9f93a,12.5,30,20,0.0,62.5,106,28
d007e866,17.5,30,20,3.8,71.3,148,40
4633feef,25.0,30,20,7.57,82.57,473,70
d282ad4b,27.5,30,20,8.85,86.35,412,67
9fbbc000,2.5,30,1.6,0.0,34.1,4,1
e8e3b5c3,30,30,20,7.85,87.85,420,72
9a97bf4d,30,30,20,12.67,92.67,772,75
8c8c20ad,15.0,30,20,2.67,67.67,151,38
ad92096a,25.0,30,20,9.36,84.36,445,62
aed5646c,10.0,30,20,0.0,60.0,91,23
520d405e,27.5,30,20,11.23,88.73,594,70
b94bff09,10.0,30,20,0.0,60.0,121,27
f6ee1a43,25.0,30,20,9.52,84.52,455,61
ace42150,5.0,30,18.8,0.0,53.8,47,12
4f03c99a,25.0,30,20,9.55,84.55,476,69
896e0126,30,30,20,13.56,93.56,513,77
2c5b9add,5.0,30,3.2,0.0,38.2,8,4
34f96b80,2.5,30,2.4,0.0,34.9,6,3
